E(EeV)	Peak Effective area over zenith angles(km^2) #single antenna snr threshold 1.3 (optimistic scenario)
0.1	9.629474536679081e-07
0.3	0.00032886715225777794
1.0	0.07459369967661514
3.0	0.5228335641751948
10.0	1.170373976402824
30.0	1.633997160527144
100.0	1.9069228803769571
300.0	2.1716724496758926
