# log10(eV)        | GeV cm^-2
3.867509943029e+14, 1.097837254297e-2
4.824788377912e+14, 1.351382927763e-2
5.909351520276e+14, 1.727039027726e-2
7.237452984702e+14, 2.131566687209e-2
8.726762529092e+14, 2.644589937977e-2
1.050812838355e+15, 3.184997894361e-2
1.249790142118e+15, 3.867008304827e-2
1.504905385142e+15, 4.658135207799e-2
1.808361159198e+15, 5.591402172958e-2
2.224074362484e+15, 6.858636531636e-2
2.681795248459e+15, 8.374272630224e-2
3.332329407298e+15, 1.026702803708e-1
4.104093230057e+15, 1.274369583394e-1
5.099553262319e+15, 1.583290830999e-1
6.280689777013e+15, 1.944441503249e-1
7.667089131658e+15, 2.413355562239e-1
9.486567154459e+15, 2.937019440939e-1
1.198840457240e+16, 3.582168788957e-1
1.483312097480e+16, 4.417974989924e-1
1.804476435755e+16, 5.431117490711e-1
2.183548693529e+16, 6.651023032654e-1
2.819302353154e+16, 8.096479331083e-1
3.640145703787e+16, 9.885484983922e-1
4.450461046523e+16, 1.233644201270e+0
5.788022496309e+16, 1.499160485894e+0
7.285083943002e+16, 1.829736644628e+0
9.393856107156e+16, 2.261667418428e+0
1.241587925042e+17, 2.745453677541e+0
1.620283435566e+17, 3.319639375574e+0
2.222812478192e+17, 3.773234592923e+0
2.967664851506e+17, 4.232250844172e+0
4.096225332660e+17, 4.056230934382e+0
5.505166859168e+17, 3.698795472474e+0
7.266230481799e+17, 3.117039959738e+0
8.605346709439e+17, 2.498288291217e+0
1.015013754959e+18, 2.038608560549e+0
1.151715032103e+18, 1.641889704271e+0
1.363316869314e+18, 1.227758826254e+0
1.524793431870e+18, 9.711646274064e-1
1.680950398989e+18, 8.069562665652e-1
1.837832075982e+18, 6.448811226735e-1
2.023028152707e+18, 5.328249798902e-1
2.183919699688e+18, 4.353175392927e-1
2.390085769232e+18, 3.439300413381e-1
2.532542532660e+18, 2.797612961461e-1
2.697183766648e+18, 2.213683060916e-1
2.853821103993e+18, 1.703555885254e-1
2.977447025311e+18, 1.336645406049e-1
3.050831460094e+18, 1.026620828939e-1
3.122990111342e+18, 7.940200962414e-2
3.245317637181e+18, 6.259476579248e-2
3.309079073349e+18, 4.816659999466e-2
3.456704396854e+18, 3.771578164726e-2
3.555807809422e+18, 2.914695751577e-2
3.678140971525e+18, 2.303442671087e-2
3.901250255693e+18, 1.843321521796e-2
4.130802405916e+18, 1.448633811665e-2
4.310300001944e+18, 1.127653974663e-2
